filename,interval_label,start,end,step,stepnumber,f0,jumpkilleffect
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.269,15,0.0349138453150303,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.287,16,0.0349138453150303,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.305,17,0.0349138453150303,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.323,18,0.0349138453150303,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.34,19,0.0349138453150303,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.358,20,0.0349138453150303,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.015,1,-0.0842487402263749,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.031,2,-0.0675305556694449,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.046,3,-0.0731487535758065,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.062,4,-0.0730510754847457,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.077,5,-0.0634522839838582,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.093,6,-0.0515953165421649,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.108,7,-0.0375004822325823,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.124,8,-0.0248175403559712,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.139,9,-0.00960915755981644,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.155,10,0.00954557842400942,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.17,11,0.0221751470098178,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.186,12,0.0367335601257603,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.201,13,0.0725017249798071,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.217,14,0.109909553011094,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.232,15,0.127074372764907,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.247,16,0.133822535225913,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.263,17,0.116401644272139,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.278,18,0.0715518261005006,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.294,19,0.0175414098024306,1
003forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,forneden,2.021,2.345,0.309,20,-0.0324563780637053,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.018,1,-0.243508387632518,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.036,2,-0.218584984284375,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.053,3,-0.215728795732066,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.071,4,-0.212668143772965,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.089,5,-0.196091346711457,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.107,6,-0.16644360083037,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.124,7,-0.119835298278412,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.142,8,-0.0869498870170031,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.16,9,-0.0691885600819746,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.178,10,-0.0236310692874388,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.195,11,0.0232502266371395,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.213,12,0.0668796802158369,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.231,13,0.0739933486266109,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.249,14,0.0699379988975834,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.266,15,0.0565311844809125,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.284,16,0.0587828106599153,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.302,17,0.0753474292486139,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.32,18,0.0766002149415421,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.337,19,0.0532287751625196,1
003melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,melet,1.853,2.226,0.355,20,0.0656020724642487,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.017,1,-0.308788454235019,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.034,2,-0.274908271758743,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.051,3,-0.244724397794565,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.068,4,-0.203688564921227,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.085,5,-0.148988353580112,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.102,6,-0.0978448842376221,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.119,7,-0.0534703329678386,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.136,8,-0.0366773331750055,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.153,9,-0.0377409937876574,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.17,10,-0.0197744407792863,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.187,11,0.0195070612062143,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.204,12,0.0560448471430266,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.221,13,0.0901631730180043,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.238,14,0.122132048817153,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.255,15,0.121598702585454,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.272,16,0.104391553312029,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.289,17,0.091030521687883,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.306,18,0.0750033811452242,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.323,19,0.0713466143180125,1
003nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,nEsen,1.995,2.352,0.34,20,0.069521297661787,1
003pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,pElen,1.782,2.114,0.016,1,-0.0942164517113007,1
003pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,pElen,1.782,2.114,0.032,2,-0.0668807561418912,1
003pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,pElen,1.782,2.114,0.048,3,-0.0119798796792066,1
003pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,pElen,1.782,2.114,0.063,4,-0.00172411494102794,1
003pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,pElen,1.782,2.114,0.079,5,-0.00709788307047459,1
003pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,pElen,1.782,2.114,0.095,6,-0.0187591270887001,1
